Ticker,Momentum (%),Monthly Vol (%),Ann. Vol (%),Weight (%),Company,Sector,Industry
HOOD,244.01729060615656,16.549445557438673,57.328961085157644,10.03096530920682,Robinhood Markets,Financials,Investment Banking & Brokerage
WDC,197.51102300498536,16.427307886423296,56.905863781724115,10.10554592517708,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals"
STX,181.64443465028648,13.9470241553247,48.31390890282557,11.90267632897847,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals"
APP,171.1778596509292,24.291583238743694,84.14851273158523,6.833927317199427,AppLovin,Information Technology,Application Software
FIX,156.75295604651643,10.619596182803322,36.78736028895972,15.632130583467474,Comfort Systems USA,Industrials,Construction & Engineering
CIEN,141.05576275575297,19.896524754260206,68.92358353686109,8.3435130669103,Ciena,Information Technology,Communications Equipment
SNDK,135.66476687640954,49.35692155313986,170.97739167045924,3.3633968458617054,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals"
PLTR,116.13743468122011,14.475387024310299,50.1442115706574,11.468219398519599,Palantir Technologies,Information Technology,Application Software
ORCL,102.31030266442191,15.757658055155826,54.58612871965374,10.534999153567597,Oracle Corporation,Information Technology,Application Software
GEV,101.66295688929412,14.086735826113173,48.79788432725751,11.78462607111154,GE Vernova,Industrials,Heavy Electrical Equipment
