,Portfolio Value,SPY Value
2026-03-06 20:00:00+00:00,9606.64106815545,9997.768755570172
2026-03-06 20:30:00+00:00,9603.43776161167,10001.635761782982
2026-03-09 13:30:00+00:00,9570.322598503333,9876.558081253248
2026-03-09 14:00:00+00:00,9693.124559016505,9876.26033992982
2026-03-09 14:30:00+00:00,9760.191164851612,9928.611978968573
2026-03-09 15:00:00+00:00,9803.08749829868,9961.182882706082
2026-03-09 15:30:00+00:00,9850.230838977894,9956.34912494007
2026-03-09 16:00:00+00:00,9884.646570751325,9977.542316031724
2026-03-09 16:30:00+00:00,9894.243662503746,9983.489880516776
2026-03-09 17:00:00+00:00,9868.507248938595,9947.425054968682
2026-03-09 17:30:00+00:00,9829.32543429432,9946.979350731479
2026-03-09 18:00:00+00:00,9873.41756809937,9965.495593156096
2026-03-09 18:30:00+00:00,9870.842490642966,9965.793334479522
2026-03-09 19:00:00+00:00,10098.3025864697,10074.511581683613
2026-03-09 19:30:00+00:00,10146.758266884564,10088.045195680506
2026-03-10 13:30:00+00:00,10413.251006872986,10051.607285730192
2026-03-10 14:00:00+00:00,10423.96561081951,10077.93197591128
2026-03-10 14:30:00+00:00,10531.750770283148,10130.283614950034
2026-03-10 15:00:00+00:00,10517.853124549652,10129.837002964894
2026-03-10 15:30:00+00:00,10540.517462499682,10133.704009177702
2026-03-10 16:00:00+00:00,10516.034556681216,10122.25186120099
2026-03-10 16:30:00+00:00,10549.705957934808,10134.894066723475
2026-03-10 17:00:00+00:00,10607.914442393509,10161.887767134338
2026-03-10 17:30:00+00:00,10585.594813659653,10143.772749298
2026-03-10 18:00:00+00:00,10476.037470949273,10103.661183445516
2026-03-10 18:30:00+00:00,10420.090997354924,10091.019885670969
2026-03-10 19:00:00+00:00,10385.745960528984,10074.808415259104
2026-03-10 19:30:00+00:00,10331.629444828955,10069.454517925034
2026-03-11 13:30:00+00:00,10456.964402710504,10081.947852785805
2026-03-11 14:00:00+00:00,10560.602903092553,10056.069774589856
2026-03-11 14:30:00+00:00,10579.016041529416,10084.62480145284
2026-03-11 15:00:00+00:00,10507.783888190006,10034.057794858778
2026-03-11 15:30:00+00:00,10478.974533867573,10027.094460431908
2026-03-11 16:00:00+00:00,10473.894060482107,10034.578842174773
2026-03-11 16:30:00+00:00,10518.042962767564,10058.151240610032
2026-03-11 17:00:00+00:00,10511.546673921113,10060.68022636329
2026-03-11 17:30:00+00:00,10503.938193742966,10038.817117293926
2026-03-11 18:00:00+00:00,10482.850250946212,10042.98186483016
2026-03-11 18:30:00+00:00,10454.055445015285,10042.684123506733
2026-03-11 19:00:00+00:00,10457.607752090384,10038.593811301354
2026-03-11 19:30:00+00:00,10464.430542625674,10058.746723256887
2026-03-12 13:30:00+00:00,10123.863159759518,9947.797231622964
2026-03-12 14:00:00+00:00,10141.354356752774,9935.750508747335
2026-03-12 14:30:00+00:00,10081.083974421186,9942.294463627177
2026-03-12 15:00:00+00:00,10107.03229221474,9937.386270530309
2026-03-12 15:30:00+00:00,10212.182939416401,9954.191408093155
2026-03-12 16:00:00+00:00,10210.068842257057,9947.351527385757
2026-03-12 16:30:00+00:00,10228.047434757698,9947.351527385757
2026-03-12 17:00:00+00:00,10204.763150749031,9943.186779849522
2026-03-12 17:30:00+00:00,10179.432206961816,9937.23921536447
2026-03-12 18:00:00+00:00,10198.651771521181,9937.684011853737
2026-03-12 18:30:00+00:00,10171.38124194494,9924.878411702543
2026-03-12 19:00:00+00:00,10149.064717717552,9934.56045120156
2026-03-12 19:30:00+00:00,10120.88000950786,9905.707683015147
2026-03-13 13:30:00+00:00,10414.587695700106,9972.486160021075
2026-03-13 14:00:00+00:00,10324.528410559342,9947.352435133695
2026-03-13 14:30:00+00:00,10176.861731026318,9895.148759008718
2026-03-13 15:00:00+00:00,10221.168884107366,9884.143223017147
2026-03-13 15:30:00+00:00,10202.922506351153,9866.147120160591
2026-03-13 16:00:00+00:00,10202.042378495238,9880.276216804337
2026-03-13 16:30:00+00:00,10219.482016368067,9865.478109930817
2026-03-13 17:00:00+00:00,10243.01165545676,9880.870791703257
2026-03-13 17:30:00+00:00,10195.642423422558,9854.992713507309
2026-03-13 18:00:00+00:00,10203.93348969557,9865.552545261675
2026-03-13 18:30:00+00:00,10246.963916744227,9878.04497237451
2026-03-13 19:00:00+00:00,10197.72292252006,9851.1257072945
2026-03-13 19:30:00+00:00,10213.65107794728,9850.084520410443
2026-03-16 13:30:00+00:00,10685.943576522855,9976.501129147662
2026-03-16 14:00:00+00:00,10628.629747423394,9968.61915380827
2026-03-16 14:30:00+00:00,10609.307480963153,9962.075198928424
2026-03-16 15:00:00+00:00,10600.747581341178,9965.495593156089
2026-03-16 15:30:00+00:00,10573.655360816629,9941.847851642035
2026-03-16 16:00:00+00:00,10550.924991760077,9926.678475862167
2026-03-16 16:30:00+00:00,10563.001684796509,9941.178841412258
2026-03-16 17:00:00+00:00,10599.153526527436,9952.705424719828
2026-03-16 17:30:00+00:00,10623.479669819159,9946.087034509128
2026-03-16 18:00:00+00:00,10623.71300907709,9961.628586943281
2026-03-16 18:30:00+00:00,10607.641930239997,9958.728332283676
2026-03-16 19:00:00+00:00,10595.771733382295,9953.746611603887
2026-03-16 19:30:00+00:00,10563.509668392142,9949.136159830447
2026-03-17 13:30:00+00:00,10643.899786614846,10022.457683968281
2026-03-17 14:00:00+00:00,10689.563637555673,10002.676948667035
2026-03-17 14:30:00+00:00,10723.982202293328,10009.66751553202
2026-03-17 15:00:00+00:00,10654.343592070518,9988.920028677574
2026-03-17 15:30:00+00:00,10635.852346438594,9979.624689799837
2026-03-17 16:00:00+00:00,10677.085205348203,9982.5993797903
2026-03-17 16:30:00+00:00,10651.003861575551,9978.732373577492
2026-03-17 17:00:00+00:00,10692.085842749233,9987.358702225454
2026-03-17 17:30:00+00:00,10737.083057902368,9989.886780230776
2026-03-17 18:00:00+00:00,10757.337055150947,9977.988928016859
2026-03-17 18:30:00+00:00,10766.920375415924,9980.812931849734
2026-03-17 19:00:00+00:00,10767.298118050101,9980.070394037039
2026-03-17 19:30:00+00:00,10816.950030453041,9975.459942263598
2026-03-18 13:30:00+00:00,10868.537375911184,9953.8954822656
2026-03-18 14:00:00+00:00,10831.757115488377,9904.51853321731
2026-03-18 14:30:00+00:00,10931.98133055997,9922.068024088723
2026-03-18 15:00:00+00:00,10927.303826680456,9919.00709804422
2026-03-18 15:30:00+00:00,10966.809593758262,9920.580225219523
2026-03-18 16:00:00+00:00,11000.357102360158,9921.026837204665
2026-03-18 16:30:00+00:00,10973.764766081855,9913.292824779046
2026-03-18 17:00:00+00:00,10983.865767457668,9902.733900772619
2026-03-18 17:30:00+00:00,11000.205868640303,9915.82090278437
2026-03-18 18:00:00+00:00,11022.304416381714,9906.897740560918
2026-03-18 18:30:00+00:00,10917.443735465506,9866.592824397794
2026-03-18 19:00:00+00:00,10851.020460179807,9859.156553295605
2026-03-18 19:30:00+00:00,10806.315706928333,9839.227855080582
2026-03-19 13:30:00+00:00,10651.647338456953,9796.245990250422
2026-03-19 14:00:00+00:00,10746.26095660136,9761.295879169305
2026-03-19 14:30:00+00:00,10818.250284172887,9783.13629454024
2026-03-19 15:00:00+00:00,10794.370612668405,9781.96802294496
2026-03-19 15:30:00+00:00,10786.370504362216,9785.01714826628
2026-03-19 16:00:00+00:00,10845.06205422445,9785.389324920565
2026-03-19 16:30:00+00:00,10866.318225747915,9773.759258348147
2026-03-19 17:00:00+00:00,10846.291405659062,9773.04486072151
2026-03-19 17:30:00+00:00,10874.29985575614,9774.829493166199
2026-03-19 18:00:00+00:00,10903.788898067545,9773.862741612997
2026-03-19 18:30:00+00:00,10909.894035368461,9792.825596022756
2026-03-19 19:00:00+00:00,11017.47069421881,9819.59599044105
2026-03-19 19:30:00+00:00,11011.895441033232,9811.71310735372
2026-03-20 13:30:00+00:00,10791.562217840976,9714.001303889137
2026-03-20 14:00:00+00:00,10644.739136040493,9694.815143486809
2026-03-20 14:30:00+00:00,10647.81420776287,9698.682149699616
2026-03-20 15:00:00+00:00,10707.439710484228,9695.707459709154
